Depth/Thickness,Width/Thickess,Depth/Thickness,Width/Thickess,Depth/Thickness,Width/Thickess,Depth/Thickness,Width/Thickess
1 mm,1 mm,1 mm,1 mm,3 mm,3 mm,3 mm,3 mm
0.228571428571429,0.036734693877551,0.125358851674641,0.0100478468899522,0.0834130781499203,0.00797448165869218,0.208,0.03134
0.236734693877551,0.0244897959183673,0.177511961722488,0.0244019138755981,0.101116427432217,0.0087719298245614,0.209666666666667,0.0342
0.224489795918367,0.0326530612244898,0.107655502392345,0.0119617224880383,0.12488038277512,0.0118022328548644,0.221,0.0199333333333333
0.236734693877551,0.0408163265306122,0.235406698564593,0.0205741626794258,0.0768740031897927,0.00606060606060606,0.221,0.0199333333333333
0.187755102040816,0.0163265306122449,0.303827751196172,0.0114832535885167,0.114673046251994,0.00845295055821372,0.233,0.0399
0.236734693877551,0.036734693877551,0.356937799043062,0.0645933014354067,0.100478468899522,0.00637958532695375,0.219333333333333,0.0256333333333333
0.163265306122449,0.0244897959183673,0.270813397129187,0.0215311004784689,0.094896331738437,0.0105263157894737,0.211333333333333,0.0285
0.236734693877551,0.036734693877551,0.305263157894737,0.0411483253588517,0.119776714513557,0.0111642743221691,0.208,0.0370333333333333
0.171428571428571,0.0163265306122449,0.213397129186603,0.0167464114832536,0.127591706539075,0.0138755980861244,0.236666666666667,0.0427333333333333
0.138775510204082,0.0244897959183673,0.250239234449761,0.0358851674641148,0.0966507177033493,0.00845295055821372,0.205333333333333,0.03134
0.16734693877551,0.0204081632653061,0.250239234449761,0.0344497607655502,0.118979266347687,0.00797448165869218,0.166666666666667,0.0228
0.183673469387755,0.0204081632653061,0.210526315789474,0.023444976076555,0.139393939393939,0.0108452950558214,0.0996666666666667,0.0057
0.212244897959184,0.0244897959183673,0.210047846889952,0.0330143540669856,0.103189792663477,0.00829346092503987,0.068,0.0114
0.248979591836735,0.0408163265306122,0.233014354066986,0.0186602870813397,0.136044657097289,0.0127591706539075,0.198333333333333,0.0313390313390313
0.236734693877551,0.0775510204081633,0.133492822966507,0.0133971291866029,0.0838915470494418,0.00494417862838915,0.194666666666667,0.0227920227920228
0.175510204081633,0.0163265306122449,0.177511961722488,0.0239234449760766,0.159489633173844,0.00781499202551834,0.195666666666667,0.0142450142450142
0.163265306122449,0.0122448979591837,0.1688995215311,0.0196172248803828,0.130781499202552,0.010207336523126,0.173,0.0113960113960114
0.187755102040816,0.0204081632653061,0.21244019138756,0.0196172248803828,,,0.145,0.00854700854700855
0.23265306122449,0.0204081632653061,0.131578947368421,0.0114832535885167,,,0.206,0.0398860398860399
0.171428571428571,0.0244897959183673,0.205741626794258,0.0311004784688995,,,0.223,0.0227920227920228
0.212244897959184,0.0204081632653061,0.179425837320574,0.0186602870813397,,,0.190333333333333,0.0113960113960114
0.13469387755102,0.0244897959183673,0.16555023923445,0.0167464114832536,,,0.224333333333333,0.0256410256410256
0.187755102040816,0.036734693877551,0.174641148325359,0.0296650717703349,,,0.208666666666667,0.0256410256410256
0.155102040816327,0.00816326530612245,0.187081339712919,0.0229665071770335,,,0.207333333333333,0.0242165242165242
0.195918367346939,0.0204081632653061,0.132535885167464,0.0172248803827751,,,0.175666666666667,0.0313390313390313
0.2,0.0244897959183673,0.150717703349282,0.0200956937799043,,,0.231666666666667,0.0227920227920228
0.212244897959184,0.0122448979591837,0.158373205741627,0.0200956937799043,,,0.202666666666667,0.0142450142450142
0.212244897959184,0.0204081632653061,0.136842105263158,0.0167464114832536,,,0.163333333333333,0.0170940170940171
0.244897959183673,0.0285714285714286,0.0842105263157895,0.0133971291866029,,,0.205333333333333,0.0398860398860399
0.244897959183673,0.0326530612244898,0.144019138755981,0.0105263157894737,,,0.266333333333333,0.0256410256410256
0.220408163265306,0.0285714285714286,0.069377990430622,0.00861244019138756,,,,
0.244897959183673,0.0448979591836735,0.0909090909090909,0.0076555023923445,,,,
0.244897959183673,0.0408163265306122,0.1,0.0105263157894737,,,,
0.204081632653061,0.0326530612244898,0.143062200956938,0.0167464114832536,,,,
0.220408163265306,0.0204081632653061,0.142583732057416,0.0119617224880383,,,,
0.363265306122449,0.0489795918367347,0.11866028708134,0.0105263157894737,,,,
0.408979591836735,0.0408163265306122,0.17177033492823,0.0157894736842105,,,,
0.481632653061224,0.0530612244897959,0.146411483253589,0.0167464114832536,,,,
0.497959183673469,0.0489795918367347,0.126794258373206,0.0143540669856459,,,,
0.440816326530612,0.0938775510204082,0.127272727272727,0.0110047846889952,,,,
0.306122448979592,0.0612244897959184,0.180382775119617,0.0129186602870813,,,,
--,--,0.179904306220096,0.0220095693779904,,,,
--,--,0.123444976076555,0.0105263157894737,,,,
--,--,0.143062200956938,0.0133971291866029,,,,
--,--,0.189952153110048,0.0263157894736842,,,,
--,--,0.2,0.0205741626794258,,,,
--,--,0.196172248803828,0.0239234449760766,,,,
--,--,0.159808612440191,0.0100478468899522,,,,
--,--,0.207655502392345,0.0263157894736842,,,,
--,--,0.169377990430622,0.0186602870813397,,,,
--,--,0.237799043062201,0.0244019138755981,,,,
--,--,0.201913875598086,0.0239234449760766,,,,
--,--,0.241148325358852,0.0244019138755981,,,,
--,--,0.369377990430622,0.0631578947368421,,,,
--,--,0.382775119617225,0.0444976076555024,,,,
--,--,0.26555023923445,0.0205741626794258,,,,
--,--,0.398086124401914,0.0583732057416268,,,,
--,--,0.292822966507177,0.030622009569378,,,,
,--,0.105741626794258,0.0129186602870813,,,,
,--,0.228708133971292,0.0253588516746412,,,,
,--,0.154066985645933,0.0220095693779904,,,,
